Epoch,gpu_mem,box,obj,cls,total,targets,img_size,precision,recall,mAP@.5,mAP@.5:.95,val box,val obj,val cls
75,1.65G,0.03322,0.02671,0.004186,0.06412,87,416,0.9144,0.7635,0.8285,0.4473,0.03929,0.01463,0.0004225
76,1.65G,0.03449,0.02667,0.004905,0.06606,116,416,0.8885,0.8288,0.8752,0.4063,0.0415,0.01541,0.0004989
77,1.65G,0.03382,0.02731,0.004175,0.0653,104,416,0.8073,0.8785,0.8688,0.445,0.03999,0.01478,0.001263
78,1.65G,0.03391,0.02661,0.004186,0.0647,86,416,0.8876,0.8206,0.8528,0.4053,0.04292,0.01489,0.0006502
79,1.65G,0.03334,0.02608,0.00457,0.06399,72,416,0.734,0.8384,0.8147,0.412,0.03997,0.01511,0.003935
80,1.65G,0.03357,0.02602,0.004371,0.06397,76,416,0.8301,0.8274,0.8735,0.4409,0.03994,0.01458,0.002286
81,1.65G,0.03292,0.02623,0.004118,0.06327,101,416,0.8838,0.8038,0.8873,0.4398,0.03792,0.01506,0.001192
82,1.65G,0.0331,0.02521,0.003798,0.06211,74,416,0.8352,0.8537,0.8483,0.4065,0.04125,0.01571,0.0003215
83,1.65G,0.03366,0.0258,0.004663,0.06412,82,416,0.891,0.8025,0.8751,0.4418,0.04018,0.01465,0.0004946
84,1.65G,0.03319,0.02564,0.004022,0.06286,90,416,0.8766,0.8712,0.8878,0.4186,0.04282,0.01512,0.0005476
85,1.65G,0.03243,0.02565,0.004337,0.06242,62,416,0.8497,0.8212,0.8698,0.4071,0.04423,0.0151,0.0009492
86,1.65G,0.03331,0.02738,0.004274,0.06497,112,416,0.8664,0.8613,0.8826,0.4116,0.03991,0.01451,0.0008081
87,1.65G,0.0328,0.02563,0.004417,0.06284,91,416,0.8087,0.7462,0.7647,0.3587,0.04313,0.01563,0.0009971
88,1.65G,0.03247,0.02538,0.003914,0.06177,86,416,0.8777,0.8462,0.8797,0.4131,0.0415,0.01551,0.0007554
89,1.65G,0.03328,0.02539,0.004198,0.06287,102,416,0.8129,0.7711,0.801,0.4182,0.04144,0.01481,0.0006479
90,1.65G,0.03356,0.02587,0.003751,0.06318,75,416,0.8856,0.8135,0.85,0.4618,0.04138,0.01518,0.0003976
91,1.65G,0.03294,0.02579,0.004248,0.06299,80,416,0.8968,0.8457,0.8759,0.4235,0.04266,0.01548,0.001177
92,1.65G,0.03271,0.0258,0.004012,0.06253,89,416,0.8731,0.7808,0.863,0.3915,0.0449,0.01515,0.0003066
93,1.65G,0.03217,0.0254,0.003406,0.06098,99,416,0.9,0.8615,0.9091,0.4118,0.04161,0.01474,0.001509
94,1.65G,0.03185,0.02617,0.003624,0.06165,93,416,0.8924,0.8537,0.8818,0.4327,0.0415,0.01467,0.0007578
95,1.65G,0.03248,0.02562,0.004056,0.06216,87,416,0.9246,0.7962,0.8841,0.4385,0.04048,0.01479,0.0006406
96,1.65G,0.03266,0.02547,0.003763,0.06189,88,416,0.8837,0.8288,0.8813,0.4639,0.04106,0.0145,0.0006357
97,1.65G,0.03197,0.02511,0.003756,0.06084,79,416,0.8936,0.7962,0.8257,0.3941,0.04372,0.01488,0.0008131
98,1.65G,0.03159,0.02564,0.003465,0.06069,93,416,0.9181,0.7885,0.8431,0.4208,0.04055,0.01488,0.0005157
99,1.65G,0.03156,0.02516,0.003884,0.06061,88,416,0.8346,0.8461,0.8641,0.4449,0.04055,0.0149,0.001054
100,1.65G,0.03214,0.02526,0.003531,0.06094,106,416,0.8389,0.8785,0.8849,0.4515,0.04085,0.01504,0.0007121
